No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
230,01/05/2023,MGV 88,Kalamasimbarika,Melastomataceae,Medinilla,sp.,Medinilla sp,LE,0.95,68.7009290,55.5310386,28.8129482,18.1256054,10.08,2.4178471,10.4453315,8.3519258,,
231,01/05/2023,MGV 89,Mongina,Euphorbiaceae,Croton,mongue,Croton mongue,OT,0.94,63.9484132,56.5645051,14.7350424,8.9630710,5.66,1.5417149,13.4089018,15.4370366,,
232,01/05/2023,MGV 90,Vahitamboro,NA,NA,NA,NA,FR,0.95,50.6708812,42.3441433,12.0743251,14.3600539,11.59,5.0498214,5.2874016,27.4054885,,
233,01/05/2023,MGV 91,Kalafana-lg,Myrsinaceae,Oncostemon,boiseum,Oncostemon boiseum,BU,0.94,46.9983594,48.6755493,31.5343935,17.6163341,8.96,9.6473604,9.0362396,25.3533835,,
234,01/05/2023,MGV 92,Roikina,NA,NA,NA,NA,LE,0.94,37.4250016,26.1038607,13.2392809,36.2880686,25.19,1.5649730,5.7426219,30.0739222,,
235,01/05/2023,MGV 93,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.97,36.4853211,34.8340387,31.4869409,10.3852268,4.28,34.0329667,7.6397791,17.5649174,,
236,27/05/2023,MGV 94,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.97,33.0116873,38.8674072,33.8153856,7.5224473,2.61,25.8146348,5.2161852,33.3497537,30.66593216,3.153718331
237,27/05/2023,MGV 95,Sandramy,Anacardiaceae,Abrahamia,turkii,Abrahamia turkii,FR,0.94,44.7657999,39.9879830,26.1597743,6.4652188,-0.52,4.6487489,4.8013706,46.3026591,,
238,27/05/2023,MGV 96,Rotrafotsy,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.96,21.8300692,19.6758925,10.0972420,11.7589916,5.90,3.8535669,4.2428986,64.1749697,,
239,27/05/2023,MGV 97,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.93,65.2391607,56.6307141,38.1604888,18.0222482,5.87,4.4841957,5.8502292,18.5514502,,
240,27/05/2023,MGV 98,Fantsy,Apocynaceae,Carissa,edulis,Carissa edulis,FR,0.96,27.5300802,23.0991821,15.0231697,5.6458691,2.28,21.4884360,4.8350129,43.8651746,,
