No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
94,29/03/2023,TALA 94,Vahy sp.,NA,NA,NA,NA,FR,0.94,32.8138884,26.2788844,7.4957078,14.3580029,12.23,2.5660830,11.8920202,40.5005996,,
95,31/03/2023,TALA 95,Voatakaboka,NA,NA,NA,NA,FR,0.92,17.7098261,5.9692948,0.8631916,15.2849153,12.40,1.4893494,2.8880139,65.5160014,,
96,31/03/2023,TALA 96,Goavy,Myrtaceae,Psidium,guajava,Psidium guajava,FR,0.94,46.6282285,37.1009494,15.3181393,6.7565351,5.07,6.2901233,8.5428230,33.4686839,,
97,31/03/2023,TALA 97,Ramiavontoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.95,50.6800284,44.8368562,34.4735427,29.9713099,22.47,0.4790647,5.2547019,21.1157308,,
98,31/03/2023,TALA 98,Vahitamboro,NA,NA,NA,NA,FR,0.94,50.6116546,39.9438198,15.3359560,8.2840117,5.73,5.6732236,6.6503285,31.3301142,,
99,31/03/2023,TALA 99,Tsolaitra,NA,NA,NA,NA,FR,0.94,34.9790123,29.9037652,18.7413022,7.6586482,3.37,2.1365860,3.6992672,55.8194958,,
100,31/03/2023,TALA 100,Dikana,NA,NA,NA,NA,FR,0.94,49.9447082,42.4207674,28.3344544,15.3609133,6.36,5.7690472,3.8444209,34.0787133,,
101,31/03/2023,TALA 101,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.94,67.7121850,53.8040332,27.9171025,7.0005132,2.84,3.1711477,7.0316417,19.2419820,,
102,31/03/2023,TALA 102,Kalafana-sm,Myrsinaceae,Oncostemon,leprosum,Oncostemon leprosum,FR,0.95,48.9379663,36.4981486,10.7875848,11.2484799,9.09,17.8298667,13.9494205,10.1884167,,
103,31/03/2023,TALA 103,Akondro,Musaceae,Ensete,perrieri,Ensete perrieri,FR,0.94,8.5794524,5.8778589,4.3682323,4.7602315,3.40,3.2026699,2.2761728,82.5447341,,
104,31/03/2023,TALA 104,Voara,Moraceae,Ficus,tilifolia,Ficus tilifolia,FR,0.95,44.8306874,39.4161422,25.0651763,9.4074852,4.06,7.9022634,9.3432762,33.8654922,5.38277512,0.6582671
105,31/03/2023,TALA 105,Lafa,Arecaceae,Ravenea,robustior,Ravenea robustior,FR,0.94,30.4862282,17.5753538,5.0342021,15.3774668,13.33,6.0012627,7.0321742,43.1509581,,
106,21/04/2023,TALA 106,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.94,36.8790803,31.8873537,21.0736829,7.1084106,3.05,5.5799438,8.4034851,46.0914200,,
107,21/04/2023,TALA 107,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,LE,0.93,53.4477242,44.5349055,31.3821687,16.7608874,9.20,3.8550426,9.2365429,24.2567704,,
108,21/04/2023,TALA 108,Dikana,NA,NA,NA,NA,FR,0.94,59.8361911,51.1204727,25.7528350,13.9364803,11.16,14.9202916,3.1015910,10.9809686,,
109,21/04/2023,TALA 109,Ramiavontoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.94,46.2569082,38.4102439,30.8704353,30.3112978,22.02,7.1348463,5.8270455,18.7567535,,
110,21/04/2023,TALA 110,Vahitamboro,NA,NA,NA,NA,FR,0.95,39.7682619,31.4223927,12.3098614,8.4626427,6.01,4.0077611,6.1512897,44.0617944,,
111,21/04/2023,TALA 111,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.96,45.4335785,38.4312681,31.1147446,13.0278360,6.90,39.5059913,7.1582864,1.0006587,,
112,21/04/2023,TALA 112,Voatakaboka,NA,NA,NA,NA,FR,0.92,15.5266098,5.3003403,0.8812268,16.9939525,14.10,1.8109783,4.5983090,63.9634849,,
113,21/04/2023,TALA 113,Fanorafa,NA,NA,NA,NA,FR,0.94,73.0518528,63.5738277,34.9090938,4.3616687,2.64,2.3891109,3.9762626,17.9427616,,
114,21/04/2023,TALA 114,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.94,63.2678430,51.6544015,25.7184957,8.9930132,4.52,5.8399527,7.1913770,19.1809221,,
115,12/05/2023,TALA 115,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.96,25.0188312,22.1066815,18.3518107,9.7526838,6.84,23.7273866,7.4335855,36.9778496,27.61008523,7.948407569
116,12/05/2023,TALA 116,Ramiavontoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.95,41.5800392,33.8952398,27.2423853,27.4876366,21.51,10.4662587,6.0462356,20.4004685,,
117,12/05/2023,TALA 117,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,LE,0.93,58.7622194,47.7287700,26.6609395,10.7921303,4.64,3.4367946,9.6206625,23.5378768,,
118,12/05/2023,TALA 118,Ramy,Burseraceae,Canarium,madagascariensis,Canarium madagascariensis,FR,0.94,40.2892015,35.8396357,19.8302399,5.2793146,2.93,6.4358945,8.0976845,42.2498696,3.505802708,1.8934605
119,02/06/2023,TALA 119,Tavolomalady,Lauraceae,Cryptocarya,acuminata,Cryptocarya acuminata,LE,0.94,47.4538086,33.1075768,15.6607635,12.7736926,9.48,7.4721931,3.6161272,31.9818935,,
120,02/06/2023,TALA 120,Ramiavontoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.95,52.8525588,42.5880232,30.8480807,26.8018440,19.75,4.3629879,3.8166053,19.2141710,,
121,02/06/2023,TALA 121,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.93,55.1624271,45.4869485,31.3260231,17.3247374,10.00,3.7289313,9.6048305,21.4989074,,
122,02/06/2023,TALA 122,Goavy,Myrtaceae,Psidium,guajava,Psidium guajava,FR,0.93,32.3807226,26.5875867,9.8727621,3.0810381,1.81,6.5244422,14.7310472,44.5584891,,
